NU_INSCRICAO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,N_PESSOAS_MESMA_RED,INTERNET,MEDIA_CANDIDATO,SCORE_CONSUMO,SCORE_CULT_PAIS,RENDA
190001861007,2,1,1,3,1,2,0,2,1.0,0,1.0,1.0,1.0,6,1,581.06,13,11.0,2245
190001306701,2,0,1,3,1,2,0,2,1.0,9,1.0,1.0,1.0,4,1,703.6199999999999,22,8.0,4491
190004910662,2,1,1,3,1,2,0,2,1.0,0,2.0,1.0,1.0,4,1,504.6,15,0.0,2744
190004247326,3,0,1,3,1,2,0,2,1.0,2,2.0,1.0,1.0,4,1,556.7,21,5.0,3493
190005319471,8,0,1,2,3,2,0,2,1.0,0,2.0,1.0,1.0,3,1,397.8,3,2.0,0
190002050373,3,1,1,3,1,2,0,2,1.0,21,2.0,1.0,1.0,5,0,451.74,9,8.0,499
190001838126,2,1,1,2,1,2,0,2,1.0,2,2.0,1.0,1.0,4,1,491.1,12,8.0,1247
190003068807,3,0,1,2,1,2,0,2,1.0,15,2.0,1.0,1.0,6,1,515.38,12,8.0,1247
190001169584,2,1,1,3,1,2,0,2,1.0,10,2.0,1.0,1.0,4,1,475.5,18,2.0,499
190003367131,3,1,1,1,1,2,0,2,1.0,20,1.0,1.0,1.0,4,1,597.3199999999999,26,14.0,7485
190004294271,2,0,1,1,1,2,0,2,1.0,2,2.0,1.0,1.0,6,1,465.5,17,3.0,1746
190001847526,2,0,1,2,1,2,0,2,1.0,2,2.0,1.0,1.0,6,1,519.4,37,8.0,3493
190006103428,4,0,1,0,1,2,0,2,1.0,3,2.0,2.0,1.0,4,1,475.58,16,0.0,1247
190001884775,2,1,1,3,1,2,0,2,1.0,2,2.0,1.0,1.0,3,1,495.56000000000006,19,11.0,2245
190004145793,3,1,1,3,1,2,0,2,1.0,3,2.0,1.0,1.0,3,1,497.5799999999999,7,0.0,499
190004554600,4,0,1,1,1,2,0,2,1.0,3,2.0,1.0,1.0,5,0,484.7200000000001,5,6.0,1247
190002517596,2,1,1,1,1,2,0,2,1.0,2,4.0,1.0,1.0,4,1,549.74,17,4.0,1247
190001838131,3,1,1,1,1,2,0,2,1.0,2,2.0,1.0,1.0,3,1,619.0,14,5.0,3493
190003267553,2,1,1,3,1,2,0,2,1.0,10,2.0,1.0,1.0,10,1,495.56000000000006,8,1.0,499
190002109246,2,0,1,1,1,2,0,2,1.0,2,2.0,1.0,1.0,5,1,489.84,9,6.0,1746
190005130824,3,0,1,2,1,2,0,2,1.0,11,2.0,1.0,1.0,2,0,531.28,6,2.0,499
190002828327,2,0,1,1,1,2,0,3,1.0,9,4.0,1.0,1.0,2,1,604.6600000000001,23,14.0,6487
190003363258,2,1,1,1,1,2,0,3,1.0,0,4.0,1.0,1.0,5,1,621.9599999999999,27,4.0,9481
190001742976,3,0,1,2,1,2,0,2,1.0,17,2.0,1.0,1.0,1,0,451.94,9,2.0,0
190004743257,2,0,1,2,1,2,0,2,1.0,6,2.0,1.0,1.0,4,1,547.5,11,8.0,1746
190002300568,2,1,1,3,1,2,0,2,1.0,3,2.0,1.0,1.0,5,1,513.9,5,1.0,1247
190002801427,2,1,1,3,1,2,0,2,1.0,10,2.0,1.0,1.0,3,1,525.3399999999999,10,1.0,499
190005264674,3,0,1,1,1,2,0,2,1.0,3,2.0,1.0,1.0,2,1,510.6,15,4.0,1746
190002838508,5,0,1,1,1,2,0,2,1.0,9,2.0,1.0,1.0,4,1,478.58,16,8.0,4491
190003481635,5,0,1,3,1,2,0,2,1.0,16,1.0,1.0,1.0,5,1,528.3399999999999,9,4.0,1247
190005994614,2,1,1,1,2,2,0,2,1.0,2,2.0,1.0,1.0,4,1,485.3,13,8.0,2245
190003635886,3,0,1,4,1,2,0,2,1.0,2,2.0,1.0,1.0,4,1,564.0600000000001,15,11.0,1247
190004778997,2,0,1,3,1,2,0,2,1.0,2,2.0,1.0,1.0,5,1,569.72,20,4.0,2744
190001282402,3,0,1,3,1,2,0,2,1.0,9,2.0,1.0,1.0,4,1,687.4200000000001,24,4.0,3493
190003245915,2,1,1,3,1,2,0,2,1.0,10,2.0,1.0,1.0,3,1,663.9799999999999,6,4.0,1247
190003232735,3,0,1,3,1,2,0,2,1.0,5,2.0,1.0,1.0,5,0,548.22,4,1.0,1247
190003579128,2,0,1,1,1,2,0,2,1.0,10,2.0,1.0,1.0,4,1,518.42,5,1.0,499
190002865197,3,0,1,3,1,2,0,2,1.0,1,2.0,1.0,1.0,4,1,648.2,16,8.0,1247
190005832425,2,0,1,1,1,2,0,3,1.0,2,4.0,1.0,1.0,3,1,626.36,37,14.0,13473
190003136041,3,1,1,2,1,2,0,2,1.0,11,2.0,1.0,1.0,3,1,606.42,17,8.0,3493
190004894732,2,0,1,1,1,2,0,2,1.0,0,2.0,1.0,1.0,4,1,475.06,23,8.0,2744
190004642214,3,0,1,3,1,2,0,2,1.0,9,2.0,1.0,1.0,6,0,528.4399999999999,10,8.0,2245
190005893983,2,0,1,1,1,2,0,2,1.0,2,2.0,1.0,1.0,4,1,519.5,16,3.0,3493
190001514950,2,1,1,1,1,2,0,2,1.0,11,2.0,1.0,1.0,4,0,506.38,5,4.0,1247
190004977980,2,1,1,1,1,2,0,2,1.0,9,1.0,1.0,1.0,3,1,676.8799999999999,20,8.0,1247
190001309063,3,1,1,3,1,2,0,2,1.0,9,2.0,1.0,1.0,4,1,378.8,11,2.0,499
190003919822,2,0,1,3,1,2,0,2,1.0,3,2.0,1.0,1.0,5,1,447.5799999999999,17,11.0,499
190004698738,2,1,1,1,1,2,0,3,1.0,0,4.0,1.0,1.0,4,1,705.24,35,11.0,5489
190003165946,3,0,1,1,1,2,0,2,1.0,22,4.0,1.0,1.0,3,1,592.26,16,8.0,3493
190001647801,3,1,1,3,1,2,0,2,1.0,10,2.0,1.0,1.0,3,0,501.3,5,3.0,499
190002966254,3,1,1,1,1,2,0,2,1.0,6,2.0,1.0,1.0,4,1,555.26,11,4.0,499
190002784728,3,1,1,3,1,2,0,2,1.0,12,1.0,1.0,1.0,3,1,503.24,7,8.0,499
190002244253,2,0,1,3,1,2,0,2,1.0,4,2.0,1.0,1.0,5,1,508.42,10,4.0,499
190004123253,3,1,0,1,1,2,0,2,1.0,12,2.0,1.0,1.0,6,1,452.96,22,4.0,2245
190001373550,2,0,1,0,1,2,0,2,1.0,19,2.0,1.0,1.0,3,1,655.3399999999999,10,5.0,499
190002215797,3,1,1,2,1,2,0,2,1.0,4,2.0,2.0,1.0,5,1,525.0600000000001,6,5.0,499
190004120215,5,0,1,1,1,2,0,2,1.0,12,1.0,1.0,1.0,5,1,661.26,11,6.0,2245
190004755087,2,0,0,3,1,2,0,2,1.0,17,2.0,1.0,1.0,4,1,469.82,11,0.0,0
